Variable,Number_Outliers,Prop_Outliers
NSU,3847,0.1293
NSV,3959,0.133
GST Value,4211,0.1415
NSV-GST,3939,0.1324
Gross Sales,3872,0.1301
MRP,3943,0.1325
SP,3992,0.1341
DIS,3523,0.1184
DIS%,3586,0.1205
