Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
11524,77.38512796046719,372.9999999736019,16390.57,779.81,15610.76,16469.99999937438,44.15549598,43.94254692,0.2129490599999997,0.48,9,3,1,0,0
2365,77.38512796046719,154.0000000055757,14914.67,0.0,14914.67,14950.000000861277,97.07792208,96.84850649,0.2294155899999879,0.24,6,3,0,1,0
1138,77.38512796046719,98.99999999655495,9195.79,437.52,8758.27,9405.999999662685,95.01010101,92.88676768,2.123333329999994,2.23,1,2,0,0,1
11524,77.38512796046719,2632.999999525793,52692.54,2499.98,50192.56,85235.99997797889,32.37219901,20.01235853,12.359840480000003,38.18,12,2,0,1,0
4778,77.38512796046719,4924.426999941611,451435.73,0.0,451435.73,453974.44998877315,92.18827896,91.67274284,0.5155361200000073,0.56,2,1,0,1,0
1138,77.38512796046719,220.00000001782783,12340.25,587.34,11752.91,14348.75000136276,65.22159091,56.09204545,9.129545460000003,14.0,8,3,0,0,0
1659,77.38512796046719,742.5136930721083,143972.79875000002,6023.34875,137949.45,144532.93437349555,194.6535609,193.8991834,0.7543775000000039,0.39,9,3,0,0,0
1064,77.38512796046719,4855.999999878271,95741.25,0.0,95741.25,97938.9999920249,20.16865733,19.7160729,0.45258442999999815,2.24,8,3,1,0,0
11524,77.38512796046719,54.0000000017675,2444.12,115.97,2328.15,2445.000000200029,45.27777778,45.26148148,0.016296300000000485,0.04,6,3,0,0,0
11524,77.38512796046719,6260.606973274568,171493.88875,6023.34875,165470.54,173800.64895633908,27.76099022,27.3925339,0.36845631999999995,1.33,2,2,0,0,1
2365,56.38287229247753,500.00000000000006,9418.93,447.27,8971.66,10001.0,20.002,18.83786,1.1641399999999997,5.82,3,2,0,1,0
4778,77.38512796046719,1.09,52.32,0.0,52.32,52.32000000000001,48.0,48.0,0.0,0.0,9,2,0,0,1
1925,77.38512796046719,2.9999999953846155,0.65,0.03,0.62,111.99999981769231,37.33333333,0.216666667,37.116666663000004,99.42,4,3,0,0,1
11524,51.08497422594819,6252.488583171602,158445.25875,6023.34875,152421.91,161593.2852737372,25.844635,25.34115123,0.503483769999999,1.95,6,3,0,0,1
227,77.38512796046719,1417.4373843006715,115935.35875000001,6023.34875,109912.01000000001,117581.37557378897,82.95348837,81.79222591,1.1612624600000032,1.4,8,3,0,0,0
4778,77.38512796046719,295.9520000004084,16347.52,0.0,16347.52,16470.39000118353,55.65223415,55.23706547,0.41516868000000073,0.75,3,2,0,1,0
11524,77.38512796046719,312.44153377135495,71295.39,3359.4,67935.99,77089.09136542979,246.73125379625,228.18794012249998,18.54331367375002,7.52,9,2,0,0,1
4778,72.79690741576381,6192.8099999341275,458204.18,0.0,458204.18,464183.10997374414,74.95516736,73.98970419,0.9654631700000067,1.29,10,1,0,0,0
1925,77.38512796046719,3.0,18.6,0.87,17.73,18.6,6.2,6.2,0.0,0.0,4,3,0,0,1
4778,62.02376852379748,674.4500000573252,3063.11,145.65,2917.46,20939.920004155298,31.04740159,4.541641337,26.505760253,85.37,2,1,0,0,1
2365,73.50746657637569,59.00000000202376,5830.73,0.0,5830.73,5841.000000200353,99.0,98.8259322,0.1740678000000031,0.18,1,2,1,0,0
1138,58.8375640112259,139.9999999753227,22692.94,1080.37,21612.57,24515.000001678833,175.1071429,162.0924286,13.014714300000009,7.43,12,2,0,1,0
11524,47.80031697958385,204.00000000470902,15595.5,741.31,14854.19,15595.5,76.44852941,76.44852941,0.0,0.0,7,3,0,0,0
11524,77.38512796046719,809.9999999696878,34738.52,1648.23,33090.28999999999,34794.00000229792,42.95555556,42.88706173,0.06849383000000131,0.16,7,3,0,0,0
405,77.38512796046719,4859.609487489557,1108904.2787499998,6023.34875,1102880.93,1199017.5418084504,246.73125379625,228.18794012249998,18.54331367375002,7.52,12,2,0,0,0
944,77.38512796046719,1070.9999999250583,108612.59,5167.05,103445.54,111310.94001361118,103.9317834,101.4123156,2.519467800000001,2.42,11,1,0,0,1
4778,56.529878794464565,217.45399999342965,12097.29,574.51,11522.78,12108.059998650016,55.68101759,55.63148988,0.049527710000006664,0.09,7,3,0,0,1
11524,77.38512796046719,2285.999999515058,47611.06,2265.33,45345.729999999996,47683.99999634452,20.85914261,20.82723535,0.03190726000000055,0.15,9,2,1,0,0
11524,77.38512796046719,155.99999996127153,2739.07,129.62,2609.4500000000003,2824.9999994586674,18.10897436,17.55814103,0.5508333299999997,3.04,11,1,0,0,0
2024,77.38512796046719,106.0000000027283,6216.33,295.65,5920.68,6793.999999894869,64.09433962,58.64462264,5.449716979999998,8.5,2,1,0,0,0
1925,77.38512796046719,146.0000000181045,4032.15,191.55,3840.6,4670.500000959158,31.98972603,27.61746575,4.372260279999999,13.67,4,2,0,0,0
11524,77.38512796046719,905.5198562065813,206139.85874999998,6023.34875,200116.50999999998,209500.11245097133,231.3589382,227.6480823,3.7108559000000128,1.6,10,1,0,0,0
2024,77.38512796046719,124.00000001641477,4532.5,209.09,4323.41,5590.000000579989,45.08064516,36.55241935,8.528225810000002,18.92,12,1,0,0,0
11524,46.126500989684615,1159.9999996145414,14445.13,685.63,13759.5,14477.699992789177,12.48077586,12.45269828,0.028077579999999713,0.22,8,3,0,0,0
11524,47.882424977169066,9721.888107246563,206982.56875,6023.34875,200959.22,209545.53698716447,21.55399596,21.29036731,0.26362865000000113,1.22,1,2,0,0,1
