Columns_Removed,Reason
UID,Irrelevant column
NAME,Irrelevant column
(NSV-GST)-SALES AT COST,Irrelevant column
MARGIN%,Irrelevant column
Gross RGM(P-L),Irrelevant column
Gross Margin %(Q/P*100),Irrelevant column
