,MC,MRP,SP,DIS
19034,249.1134028107093,1089.0,1089.0,0.0
19109,732.3909791967433,1641.481203,1042.705639,598.775564
19225,384.7213852236754,1130.0,1015.676471,114.323529
19272,145.25021911963293,641.0,641.0,0.0
19385,730.800412431311,999.0,0.105,998.895
19517,446.332268085699,1659.004144,1655.901516,3.102628000000095
19537,733.0882243852383,3729.676471,2100.184118,1629.492353
19765,739.7307243044439,1792.674797,928.300813,864.373984
20002,748.8531671326282,500.0,500.0,0.0
20034,474.2070660244849,1345.255556,1322.580556,22.675000000000185
20249,744.0131080555245,1501.0,1501.0,0.0
20301,171.4301160815579,1982.0,1972.561905,9.438094999999976
20395,132.79273983840392,1537.996146,0.929672447,1537.066473553
20486,745.0543954490065,984.4782609,523.0326087,461.4456522
20718,93.60966937180164,1656.136364,1651.677159,4.459204999999884
20725,248.31431782836768,1725.042283,1710.878985,14.16329799999994
20784,71.45118294076245,1558.250366,1533.85798,24.392385999999988
20791,411.0467876860719,1491.347185,1481.541555,9.805630000000065
20847,423.1214007231112,1264.822335,1052.651929,212.170406
20963,276.99883250440564,655.0,7.335,647.665
21174,376.268141685066,2015.06383,2012.951596,2.112233999999944
21234,248.83005117399924,2000.0,2000.0,0.0
21333,396.0650003693633,447.0,0.04,446.96
21488,188.98967785258293,1572.824503,1570.278775,2.5457280000000537
21702,178.48117195670284,1166.0,1154.235294,11.764705999999933
21774,737.5700251055534,1800.0,932.9472881,867.0527119
21796,101.8852881346312,1230.0,1223.300227,6.69977300000005
22088,192.30177875481368,1450.0,1448.242056,1.7579439999999522
22311,143.8655711825442,2925.0,2925.0,0.0
22488,745.3579353387,737.4036145,436.253012,301.1506025
22610,69.60771008675508,2685.5,13.82536232,2671.67463768
22706,741.5893153585771,765.7741935,638.1816129,127.59258060000002
23368,358.87825731919264,1103.009901,1103.009901,0.0
23604,741.5415033003524,900.3973684,398.3476053,502.0497631
24320,362.3875394733676,250.0,250.0,0.0
24800,320.4885112931192,860.0,860.0,0.0
24824,190.5755037675368,1661.0,1652.102143,8.89785699999993
25317,151.21091296254605,1800.0,1744.79,55.21000000000004
25337,92.39228185967156,1345.846774,1345.846774,0.0
25382,273.4555030691948,1500.0,1500.0,0.0
25589,358.7178274995241,1940.0,1938.423214,1.5767860000000835
25650,414.22423771450633,3840.0,4.31,3835.69
25790,422.0037310252775,1394.067568,984.0337838,410.0337841999999
25895,62.83950849937303,1010.0,1010.0,0.0
26036,367.04549136679856,278.0,0.29,277.71
26130,244.72505124250645,1518.55814,1492.921628,25.63651200000004
26300,425.1874801291174,2219.0,2185.715,33.284999999999854
26406,363.4364903602796,2223.548387,2213.810323,9.738063999999667
26468,192.28975448739928,1661.0,1661.0,0.0
26636,539.8160341197294,1319.0,170.415,1148.585
26792,727.8714162722636,1223.768,721.19544,502.57256000000007
26818,424.7325296968409,3840.0,4.3,3835.7
26889,433.16376208541374,1433.222222,550.95,882.272222
26953,435.9290370982824,404.7586207,157.8171264,246.9414943
27128,360.6803861774459,0.372372372,0.372372372,0.0
27292,176.73461650096493,38.00002695,37.32236264,0.6776643099999973
27332,241.04957170942933,1275.948912,1269.196515,6.752396999999974
27485,244.79942615100032,1421.797406,1282.586831,139.21057499999984
27556,409.4928623066011,499.0,5.59,493.41
27646,732.4478615294508,2703.15625,2016.875,686.28125
27705,436.3075227044627,1150.0,1150.0,0.0
27767,735.2884444670586,1524.813953,1524.813953,0.0
27817,737.199812272197,1069.534653,686.009802,383.5248509999999
27829,436.55632926539215,2231.481481,1705.787037,525.6944439999997
27910,737.4348748862615,2029.762821,942.4636859,1087.2991351
28235,131.0131925257859,624.0056022,624.0056022,0.0
28476,411.5838682304179,525.0,525.0,0.0
28628,53.57032411127853,1000.0,1000.0,0.0
28668,734.2280192213345,2191.098592,1750.549296,440.5492959999999
28836,735.6151221642067,1800.0,1800.0,0.0
29025,736.7322767535412,1800.0,1800.0,0.0
29151,738.1371325504516,2244.912698,1727.155397,517.7573010000001
29249,364.19481625647467,1113.78,848.1526,265.6274
29464,738.667691359068,1681.257813,906.0625,775.1953129999999
29560,427.6162570284466,1168.0,1168.0,0.0
29566,743.3696027312053,1331.108871,579.1220565,751.9868144999999
29589,361.7184321570179,2263.836601,2260.410654,3.4259470000001784
29601,240.70264987198505,1375.0,1375.0,0.0
29630,434.9676037020436,1971.88,922.6758667,1049.2041333000002
29666,241.65309790567684,1470.144366,1462.255,7.889365999999882
29896,747.4386002166376,1699.0,1699.0,0.0
29968,63.98604779160583,754.6835443,754.6835443,0.0
29975,429.02834553817087,871.0,871.0,0.0
30007,159.1646809756879,855.0,855.0,0.0
30019,437.44768393330907,2224.576271,1672.431186,552.1450849999999
30090,747.4386002166376,1213.825,616.8833333,596.9416667
30142,242.8497531406324,1411.0,1399.13125,11.868750000000093
30144,437.44768393330907,1150.0,1137.448824,12.55117599999994
30548,242.8497531406324,2099.0,2099.0,0.0
30619,276.4536824861654,850.0,0.95,849.05
30835,747.4386002166376,1621.666667,1621.666667,0.0
30900,254.15298035780765,950.0,794.0,156.0
31083,191.2576631551321,1594.894737,1591.338684,3.55605300000002
31269,142.40306574958564,2556.102804,2524.990654,31.11214999999993
31299,747.4386002166376,3138.25,2395.640568,742.6094320000002
31534,129.90774942818467,825.0,825.0,0.0
31935,747.4386002166376,2335.681818,2244.924242,90.75757599999996
32157,361.568401491768,1411.005206,1411.005206,0.0
32436,437.44768393330907,2031.296296,1614.592222,416.704074
32627,437.44768393330907,3609.762162,1552.681081,2057.0810810000003
32786,437.44768393330907,2041.073529,1841.515735,199.5577940000001
32946,150.4909843680318,675.0,675.0,0.0
33049,437.44768393330907,856.0416667,723.6858333,132.35583339999994
33341,242.8497531406324,1580.0,1580.0,0.0
33380,176.52390371754635,1977.913793,1975.534138,2.379654999999957
33455,133.6918245635786,1538.039216,1538.039216,0.0
33547,429.02834553817087,1440.0,1420.683851,19.316149
33658,747.4386002166376,760.0,610.525,149.47500000000002
33919,142.40306574958564,2557.402135,2534.644128,22.758006999999907
34110,437.44768393330907,1652.777778,733.2447222,919.5330558
34140,747.4386002166376,2336.083333,2336.083333,0.0
34145,276.4536824861654,1545.0,1510.265781,34.73421899999994
34766,747.4386002166376,758.1694915,396.2881356,361.8813559000001
34899,437.44768393330907,1318.860377,959.8978302,358.9625467999999
35193,176.52390371754635,1850.581982,1828.814685,21.76729699999987
35271,191.2576631551321,1372.152174,1372.152174,0.0
35425,406.3436930846295,1475.307634,1472.029008,3.278626000000031
35432,370.09740838449113,2089.285714,2088.252551,1.033163000000059
35653,260.95643451058737,1908.964949,1898.881393,10.083556000000044
35912,747.4386002166376,1395.20524,597.6943231,797.5109169
35934,747.4386002166376,1800.0,1.9,1798.1
36019,747.4386002166376,1749.6,1747.44,2.1599999999998545
36095,361.568401491768,50.0,50.0,0.0
36129,437.44768393330907,1135.866667,1135.866667,0.0
36251,370.09740838449113,2058.106061,2052.358939,5.747121999999763
36311,437.44768393330907,626.3157895,626.3157895,0.0
36480,191.2576631551321,1469.363636,1469.212879,0.1507570000001123
36488,191.2576631551321,1635.052632,1628.379737,6.672894999999926
36733,191.2576631551321,1402.280488,1400.097927,2.182561000000078
36748,166.08596166296562,1080.0,1080.0,0.0
36884,747.4386002166376,1588.808511,1541.489362,47.319148999999925
37002,437.44768393330907,862.2173913,834.6677174,27.549673900000016
37036,747.4386002166376,2726.831633,2266.918265,459.913368
