column_list,num_features,model_name,best_params,clustering_indicator,train_rmse,val_rmse,train_mae,val_mae,train_val_rmse,test_rmse,train_val_mae,test_mae
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.009036890526127755, 'epsilon': 1.0332277773633054, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.049360818763205,36.39974144313639,12.40533663171969,12.408080453378357,38.21991397858619,28.214829320400145,12.405644233172554,12.366887052786305
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.06601995564822227, 'epsilon': 1.8269762421297981, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.04824903503542,36.39846813271346,12.411169805892408,12.413796740764854,38.218728766040115,28.218191278195416,12.411378911588237,12.377531792281038
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.06271673759566763, 'epsilon': 1.8716194099718724, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.04847235138432,36.398644751268804,12.410908278299159,12.41350004737065,38.21895020522332,28.218144821236205,12.411124721722201,12.3768410448057
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.04872049165549699, 'epsilon': 1.8115520958683826, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.0481701080228,36.39840688017695,12.411215203114349,12.413861258879594,38.21865315167416,28.21816592690337,12.411430600875027,12.377667623279109
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.06990241188517508, 'epsilon': 1.8960273721269107, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.048659780937086,36.398812100718644,12.410790943010468,12.41336588943387,38.219139920606366,28.218204327716645,12.411005517720993,12.376500960302959
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.00629877829562272, 'epsilon': 1.4093912550342098, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.04732486116414,36.3978680749333,12.411889350710487,12.414689735322966,38.21785474461902,28.218385039418155,12.412166654144269,12.380598591102183
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.015101881309534758, 'epsilon': 1.3367283338216012, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.04758448834706,36.39812611282274,12.411751355001643,12.414577147210533,38.218110678597895,28.21846723590973,12.412033088648663,12.380268735635317
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.028275987748387455, 'epsilon': 1.7661190598015297, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.04810426279893,36.398400307407925,12.411381570854378,12.414073088427855,38.21860913073321,28.21830674369938,12.411605250461557,12.378141005994925
"['MRP', 1, 2]",1,HuberRegressor,"{'alpha': 0.015467454055503427, 'epsilon': 1.0735069568648847, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",yes,38.048735618271344,36.39921552794702,12.406313258251533,12.409092110648846,38.21930135335363,28.216039278379558,12.406639288196319,12.37094424841735
['MRP'],1,HuberRegressor,"{'alpha': 0.006879656352919693, 'epsilon': 1.8246976367239736, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14481476375299,36.49901249715346,12.520156413122459,12.52247512241639,38.31453453589931,28.322611678407426,12.520406440860482,12.460009115314922
['MRP'],1,HuberRegressor,"{'alpha': 0.008996854158412039, 'epsilon': 1.0053851120611967, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.18317317676586,36.53908283954762,12.513011016316689,12.514806772110344,38.35190534703904,28.364748270237847,12.513195030437215,12.453632362026882
['MRP'],1,HuberRegressor,"{'alpha': 0.08168577799894021, 'epsilon': 1.8370423866742047, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14465340367906,36.49883540876508,12.520252985515004,12.52256805277543,38.31433649223085,28.322382055525537,12.520521727649058,12.460107118888395
['MRP'],1,HuberRegressor,"{'alpha': 0.023779544653854297, 'epsilon': 1.9872812989541324, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14069016611056,36.49469325949326,12.522497756293543,12.524726247751596,38.310420181105194,28.31796119359231,12.522754063608687,12.462073391933668
['MRP'],1,HuberRegressor,"{'alpha': 0.027316278516411933, 'epsilon': 1.0991970553755792, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.18035054089357,36.53620819314999,12.51387579138966,12.51583293630225,38.34977898861643,28.36345587687217,12.514013365831403,12.454946467974002
['MRP'],1,HuberRegressor,"{'alpha': 0.07397230655565226, 'epsilon': 1.7893523106275033, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14620020603098,36.50046831424731,12.519485976753272,12.521793014192967,38.315869055428685,28.324125647381774,12.51975990513304,12.459429205870615
['MRP'],1,HuberRegressor,"{'alpha': 0.07889696601725904, 'epsilon': 1.1365044684118502, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.17965938038962,36.535454556697495,12.51421264371913,12.516109642712246,38.349070668117385,28.362853305611548,12.514357452124555,12.455359037622198
['MRP'],1,HuberRegressor,"{'alpha': 0.01952484405736843, 'epsilon': 1.7985925632240172, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.14570336460404,36.49995028666736,12.519714704956511,12.522027346032399,38.315407507046324,28.323604172720188,12.519971496143881,12.459623164069852
['MRP'],1,HuberRegressor,"{'alpha': 0.09025573281799494, 'epsilon': 1.8558860671094668, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.1441010182372,36.49825487345021,12.520544460258392,12.522860575725092,38.31376767847703,28.32173624638882,12.520822511738954,12.460370204896293
['MRP'],1,HuberRegressor,"{'alpha': 0.005252333064166158, 'epsilon': 1.5345086164688495, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.156425366493956,36.511220408511846,12.515554022053164,12.517781834675649,38.32605565141625,28.336044063966835,12.515784590187216,12.456075502320312
['MRP'],1,HuberRegressor,"{'alpha': 0.024735020698497437, 'epsilon': 1.4693603045177654, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.160098842464976,36.51505161431269,12.514827010937823,12.517006219683347,38.32968776981114,28.340334322430866,12.515017783159747,12.455457548887972
['MRP'],1,HuberRegressor,"{'alpha': 0.050508954442076204, 'epsilon': 1.4867898892269855, 'fit_intercept': True, 'max_iter': 10000, 'tol': 1e-05, 'warm_start': False}",no,38.159196250762534,36.51410375573944,12.514971077809157,12.517154967912719,38.32875110679617,28.339226751543826,12.51519011218922,12.455591984691846
